elo_diff,tournament,neutral,is_world_cup,match_result,date,year
-115.0,Friendly,False,False,draw,1994-01-02,1994
-41.0,Friendly,False,False,home_win,1994-01-02,1994
177.0,Friendly,False,False,draw,1994-01-05,1994
-424.0,Friendly,False,False,away_win,1994-01-09,1994
-268.0,Friendly,False,False,draw,1994-01-11,1994
-64.0,Friendly,False,False,home_win,1994-01-15,1994
-187.0,Friendly,False,False,home_win,1994-01-18,1994
-74.0,Friendly,True,False,draw,1994-01-19,1994
11.0,Friendly,True,False,draw,1994-01-19,1994
44.0,Friendly,False,False,draw,1994-01-19,1994
124.0,CFU Caribbean Cup qualification,False,False,home_win,1994-01-19,1994
-416.0,Friendly,False,False,draw,1994-01-19,1994
-6.0,CFU Caribbean Cup qualification,True,False,draw,1994-01-21,1994
-119.0,Friendly,False,False,draw,1994-01-22,1994
49.0,Friendly,False,False,home_win,1994-01-23,1994
269.0,CFU Caribbean Cup qualification,False,False,away_win,1994-01-23,1994
240.0,CFU Caribbean Cup qualification,False,False,home_win,1994-01-23,1994
13.0,Friendly,False,False,home_win,1994-01-23,1994
384.0,CFU Caribbean Cup qualification,True,False,home_win,1994-01-25,1994
-137.0,Friendly,False,False,home_win,1994-01-25,1994
1.0,Friendly,True,False,away_win,1994-01-26,1994
13.0,Friendly,False,False,draw,1994-01-26,1994
-115.0,CFU Caribbean Cup qualification,False,False,home_win,1994-01-27,1994
-137.0,Friendly,False,False,draw,1994-01-27,1994
-549.0,Friendly,False,False,away_win,1994-01-28,1994
-137.0,Friendly,False,False,draw,1994-01-29,1994
341.0,Friendly,True,False,home_win,1994-01-29,1994
-187.0,Friendly,False,False,draw,1994-01-29,1994
-324.0,Friendly,False,False,away_win,1994-01-30,1994
154.0,Friendly,True,False,away_win,1994-01-30,1994
-49.0,Friendly,False,False,draw,1994-01-30,1994
90.0,United Arab Emirates Friendship Tournament,True,False,draw,1994-02-02,1994
-67.0,Friendly,True,False,away_win,1994-02-02,1994
-140.0,United Arab Emirates Friendship Tournament,False,False,away_win,1994-02-02,1994
-1.0,United Arab Emirates Friendship Tournament,True,False,home_win,1994-02-04,1994
-49.0,United Arab Emirates Friendship Tournament,False,False,draw,1994-02-04,1994
-91.0,United Arab Emirates Friendship Tournament,True,False,home_win,1994-02-06,1994
-139.0,United Arab Emirates Friendship Tournament,False,False,away_win,1994-02-06,1994
-382.0,Friendly,False,False,draw,1994-02-06,1994
-249.0,Friendly,False,False,draw,1994-02-07,1994
-163.0,Malta International Tournament,False,False,draw,1994-02-08,1994
33.0,Friendly,False,False,draw,1994-02-09,1994
-204.0,Malta International Tournament,False,False,away_win,1994-02-10,1994
41.0,Malta International Tournament,True,False,home_win,1994-02-12,1994
-233.0,Friendly,False,False,away_win,1994-02-12,1994
-233.0,Friendly,False,False,away_win,1994-02-13,1994
129.0,Lunar New Year Cup,True,False,home_win,1994-02-13,1994
88.0,Friendly,False,False,away_win,1994-02-16,1994
-75.0,Friendly,False,False,away_win,1994-02-16,1994
-481.0,Friendly,False,False,home_win,1994-02-16,1994
61.0,Joe Robbie Cup,True,False,draw,1994-02-18,1994
-19.0,Joe Robbie Cup,False,False,draw,1994-02-18,1994
-159.0,Joe Robbie Cup,True,False,away_win,1994-02-20,1994
-117.0,Joe Robbie Cup,False,False,away_win,1994-02-20,1994
-121.0,Friendly,False,False,draw,1994-02-23,1994
-24.0,CFU Caribbean Cup qualification,True,False,home_win,1994-02-23,1994
-11.0,Friendly,False,False,home_win,1994-02-23,1994
-47.0,Friendly,False,False,draw,1994-02-23,1994
3.0,Friendly,True,False,home_win,1994-02-24,1994
124.0,Friendly,True,False,draw,1994-02-26,1994
-74.0,Friendly,False,False,draw,1994-02-26,1994
-9.0,Friendly,False,False,draw,1994-02-27,1994
513.0,CFU Caribbean Cup qualification,True,False,home_win,1994-03-02,1994
-58.0,Friendly,False,False,draw,1994-03-02,1994
140.0,CFU Caribbean Cup qualification,False,False,home_win,1994-03-04,1994
-54.0,Friendly,False,False,home_win,1994-03-05,1994
-373.0,CFU Caribbean Cup qualification,False,False,home_win,1994-03-06,1994
69.0,Friendly,False,False,home_win,1994-03-09,1994
41.0,Friendly,False,False,home_win,1994-03-09,1994
-90.0,Friendly,False,False,away_win,1994-03-09,1994
0.0,Friendly,False,False,draw,1994-03-09,1994
