date,year,home_team,away_team,home_team_clean,away_team_clean,home_score,away_score,match_result,tournament,city,country,neutral,is_world_cup,home_elo,away_elo,elo_diff,goal_diff,abs_goal_diff,total_goals,home_elo_last_5,away_elo_last_5,elo_last_5_diff,home_goal_difference_last_5,away_goal_difference_last_5,goal_difference_last_5_diff
2026-06-11,2026,Mexico,South Africa,Mexico,South Africa,2,0,home_win,FIFA World Cup,Mexico City,Mexico,False,True,1835.0,1531.0,304.0,2,2,2,1835.0,1531.0,304.0,1.4,-0.2,1.5999999999999999
2026-06-11,2026,South Korea,Czech Republic,South Korea,Czechia,2,1,home_win,FIFA World Cup,Zapopan,Mexico,True,True,1784.0,1731.0,53.0,1,1,3,1782.0,1735.4,46.59999999999991,0.4,2.2,-1.8000000000000003
2026-06-12,2026,United States,Paraguay,United States,Paraguay,4,1,home_win,FIFA World Cup,Inglewood,United States,False,True,1747.0,1833.0,-86.0,3,3,5,1737.2,1837.4,-100.20000000000005,-0.2,0.8,-1.0
2026-06-12,2026,Canada,Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,1,1,draw,FIFA World Cup,Toronto,Canada,False,True,1802.0,1571.0,231.0,0,0,2,1801.0,1560.0,241.0,0.8,0.0,0.8
2026-06-13,2026,Qatar,Switzerland,Qatar,Switzerland,1,1,draw,FIFA World Cup,Santa Clara,United States,True,True,1427.0,1897.0,-470.0,0,0,2,1482.2,1886.6,-404.39999999999986,-1.0,0.4,-1.4
2026-06-13,2026,Brazil,Morocco,Brazil,Morocco,1,1,draw,FIFA World Cup,East Rutherford,United States,True,True,1979.0,1830.0,149.0,0,0,2,1978.4,1830.0,148.4000000000001,1.2,2.0,-0.8
2026-06-13,2026,Haiti,Scotland,Haiti,Scotland,0,1,away_win,FIFA World Cup,Foxborough,United States,True,True,1542.0,1790.0,-248.0,-1,1,1,1531.2,1771.6,-240.39999999999986,0.8,1.4,-0.5999999999999999
2026-06-13,2026,Australia,Turkey,Australia,Turkey,2,0,home_win,FIFA World Cup,Vancouver,Canada,True,True,1774.0,1880.0,-106.0,2,2,2,1777.4,1871.2,-93.79999999999995,0.2,1.4,-1.2
2026-06-14,2026,Germany,Curaçao,Germany,Curaçao,7,1,home_win,FIFA World Cup,Houston,United States,True,True,1910.0,1467.0,443.0,6,6,8,1918.0,1455.2,462.79999999999995,2.6,-1.0,3.6
2026-06-14,2026,Ivory Coast,Ecuador,Ivory Coast,Ecuador,1,0,home_win,FIFA World Cup,Philadelphia,United States,True,True,1607.0,1933.0,-326.0,1,1,1,1607.0,1933.2,-326.20000000000005,1.6,1.2,0.40000000000000013
2026-06-14,2026,Netherlands,Japan,Netherlands,Japan,2,2,draw,FIFA World Cup,Arlington,United States,True,True,1959.0,1878.0,81.0,0,0,4,1962.2,1872.0,90.20000000000005,1.0,1.6,-0.6000000000000001
2026-06-14,2026,Sweden,Tunisia,Sweden,Tunisia,5,1,home_win,FIFA World Cup,Guadalupe,Mexico,True,True,1660.0,1641.0,19.0,4,4,6,1680.0,1641.0,39.0,0.2,-1.0,1.2
2026-06-15,2026,Saudi Arabia,Uruguay,Saudi Arabia,Uruguay,1,1,draw,FIFA World Cup,Miami Gardens,United States,True,True,1612.0,1890.0,-278.0,0,0,2,1612.0,1900.2,-288.20000000000005,-0.6,-0.6,0.0
2026-06-15,2026,Spain,Cape Verde,Spain,Cape Verde,0,0,draw,FIFA World Cup,Atlanta,United States,True,True,2171.0,1560.0,611.0,0,0,0,2168.8,1556.6,612.2000000000003,1.0,-0.4,1.4
2026-06-15,2026,Iran,New Zealand,Iran,New Zealand,2,2,draw,FIFA World Cup,Inglewood,United States,True,True,1754.0,1586.0,168.0,0,0,4,1763.2,1586.4,176.79999999999995,1.6,-1.2,2.8
2026-06-15,2026,Belgium,Egypt,Belgium,Egypt,1,1,draw,FIFA World Cup,Seattle,United States,True,True,1849.0,1591.0,258.0,0,0,2,1863.8,1591.0,272.79999999999995,3.4,0.8,2.5999999999999996
2026-06-16,2026,France,Senegal,France,Senegal,3,1,home_win,FIFA World Cup,East Rutherford,United States,True,True,2062.0,1803.0,259.0,2,2,4,2063.0,1803.0,260.0,1.2,0.0,1.2
